Time,output
430,0.25
431,0.22
432,0.23
433,0.24
434,0.24
435,0.23
436,0.25
437,0.22
438,0.22
439,0.19
440,0.18
441,0.13
442,0.14
443,0.15
444,0.17
445,0.21
446,0.18
447,0.82
448,0.63
449,1.29
450,1.75
451,2.77
452,3.91
453,5.41
454,6.58
455,8.24
456,9.55
457,11.63
458,13.22
459,15.08
500,16.16
501,18.3
502,19.62
503,21.47
504,23.07
505,25.21
506,26.98
507,28.98
508,31.32
509,33.79
510,78.64
511,84.28
512,138.39
513,150.61
514,169.08
515,191.15
516,207.29
517,220.27
518,235.84
519,249.96
520,263.96
521,277.32
522,290.13
523,302.12
524,311.1
525,328.28
526,341.63
527,356.91
528,371.36
529,385.81
530,401.12
531,415.76
532,293.46
533,305.74
534,317.39
535,329.54
536,342.08
537,354.66
538,366.3
539,379.44
540,392.82
541,405.95
542,418.16
543,429.36
544,440.04
545,454.49
546,468.02
547,481.65
548,497
549,510.95
550,526.16
551,547.45
552,563.5
553,578.35
554,594.38
555,609.77
556,626.81
557,643.25
558,659.88
559,675.36
600,691.5
601,710.49
602,726.21
603,744.49
604,760.05
605,777.1
606,793.19
607,809.71
608,824.43
609,840.85
610,854.98
611,867.32
612,882.61
613,895.34
614,910.43
615,926.8
616,936.46
617,949.53
618,966.3
619,980.41
620,994.71
621,1013.51
622,1030.44
623,1047.46
624,1065.47
625,1081.37
626,1102.1
627,1117.8
628,1133.16
629,1147.76
630,1162.69
631,1177.65
632,1193.55
633,1208.78
634,1223.73
635,1238.5
636,1255.14
637,1268.97
638,1287.52
639,1301.49
640,1318.54
641,1332.75
642,1344.19
643,1769.28
644,1832.79
645,1865.83
646,1883.58
647,1900.61
648,1914.15
649,1930.03
650,1943.17
651,1953.97
652,1973.73
653,1988.89
654,2005.36
655,2018.11
656,2029.39
657,2045
658,2059.05
659,2072.07
700,2087.11
701,2103.22
702,2118.98
703,2134.52
704,2149.85
705,2168.6
706,2194.09
707,2213.76
708,2223.7
709,2242.03
710,2255.99
711,2270.18
712,2281.51
713,2296.73
714,2311.41
715,2324.53
716,2336.72
717,2354.83
718,2368.72
719,2385.2
720,2403.46
721,2419.43
722,2436.3
723,2451.12
724,2467.31
725,2487.88
726,2510.37
727,2518.65
728,2537.7
729,2555.12
730,2572.93
731,2600.74
732,2615.88
733,2635.08
734,2645.36
735,2655.28
736,2670.52
737,2685.55
738,2697.6
739,2711.37
740,2727.75
741,2739.6
742,2755.82
743,2771.39
744,2784.45
745,2799.54
746,2816.03
747,2829.62
748,2844.97
749,2857.48
750,2872.23
751,2887.68
752,2901.07
753,2911.43
754,2925.2
755,2941.5
756,2934.34
