,Time,Actual,predicted
310,1859,0.06,-130.19855101177927
311,1603,2091.19,1238.4985616976446
312,1559,214.5,1473.7433779445764
313,1624,1458.78,1126.2226266707003
314,1311,3269.86,2799.6687058818306
315,1800,94.77,185.24336168297123
316,1500,3977.07,1789.185290639327
317,1414,2311.32,2248.9819769401483
318,1815,81.22,105.04626523515253
319,1415,1453.27,2243.6355038436277
320,1516,748.79,1703.6417210949876
321,1746,225.12,473.9529088951149
322,1722,1226.06,602.268263211623
323,1416,3727.35,2238.289030747106
324,1305,1891.25,2831.747544460958
325,1722,1283.51,602.268263211623
326,1712,186.78,655.7329941768348
327,1303,181.66,2842.4404906540003
328,1720,920.98,612.9612094046661
329,1408,2038.53,2281.060815519276
330,1706,248.64,687.8118327559623
331,1537,2493.15,1591.3657860680432
332,1503,3424.07,1773.1458713497632
333,1414,3803.3,2248.9819769401483
334,1638,125.51,1051.3720033194022
335,1628,2026.45,1104.836734284614
336,1612,461.83,1190.3803038289534
337,1819,11.41,83.66037284906815
338,1417,3059.42,2232.9425576505855
339,1405,2197.77,2297.1002348088396
340,1858,0.09,-124.85207791525863
341,1320,3769.2,2751.5504480131403
342,1715,1469.93,639.6935748872711
343,1526,2505.26,1650.1769901297757
344,1732,222.85,548.8035322464111
345,1328,1325.49,2708.7786632409707
346,1748,421.01,463.2599627020718
347,1543,2816.88,1559.2869474889158
348,1637,1884.26,1056.7184764159247
349,1817,130.95,94.35331904210943
350,1313,3707.95,2788.9757596887885
351,1645,1564.24,1013.9466916437541
352,1346,2618.47,2612.542147503589
353,1511,801.27,1730.3740865775935
354,1715,192.81,639.6935748872711
355,1318,3868.08,2762.2433942061825
356,1338,3937.98,2655.313932275759
357,1533,3116.95,1612.7516784541276
358,1606,1605.16,1222.4591424080809
359,1605,2562.45,1227.8056155046015
360,1748,84.54,463.2599627020718
361,1658,1551.03,944.4425413889785
362,1352,222.42,2580.4633089244626
363,1306,3837.04,2826.4010713644366
364,1722,210.56,602.268263211623
365,1457,2890.21,2019.083633789738
366,1340,1081.73,2644.6209860827166
367,1745,73.96,479.2993819916355
368,1753,331.62,436.52759721946677
369,1417,649.64,2232.9425576505855
370,1730,642.79,559.4964784394542
371,1821,45.95,72.96742665602505
372,1704,655.18,698.5047789490036
373,1610,477.14,1201.0732500219965
374,1401,3674.19,2318.486127194924
375,1552,231.91,1511.1686896202245
376,1851,0.11,-87.42676623961052
377,1838,0.21,-17.92261598483492
378,1725,639.29,586.2288439220592
379,1411,3717.19,2265.021396229712
380,1805,180.53,158.5109962003644
381,1701,1751.0,714.5441982385673
382,1427,303.95,2179.4778266853737
383,1647,1863.84,1003.2537454507128
384,1607,2495.05,1217.1126693115602
385,1324,2538.31,2730.164555627056
386,1319,4471.88,2756.896921109662
387,1625,44.74,1120.8761535741778
388,1340,4440.28,2644.6209860827166
389,1643,1193.14,1024.6396378367972
390,1837,0.7,-12.57614288831428
391,1453,1355.15,2040.4695261758225
392,1647,1668.72,1003.2537454507128
393,1335,447.85,2671.3533515653226
394,1546,2715.88,1543.247528199352
395,1425,2021.17,2190.170772878416
396,1823,0.07,62.274480462983774
397,1451,3362.62,2051.1624723688647
398,1554,2403.87,1500.4757434271833
399,1829,0.41,30.195641883856297
400,1615,288.37,1174.3408845393897
401,1735,100.75,532.7641129568474
402,1352,3508.8,2580.4633089244626
403,1510,3238.68,1735.720559674115
404,1344,1212.9,2623.2350936966322
405,1338,55.7,2655.313932275759
406,1445,3498.29,2083.241310947992
407,1452,992.49,2045.815999272344
408,1405,2674.55,2297.1002348088396
409,1425,3238.08,2190.170772878416
410,1821,21.57,72.96742665602505
411,1708,3.79,677.1188865629192
412,1707,477.21,682.4653596594417
413,1559,1193.95,1473.7433779445764
414,1824,0.25,56.928007366461316
415,1729,367.7,564.8429515359749
416,1637,1909.06,1056.7184764159247
417,1651,106.24,981.8678530646266
418,1635,1359.92,1067.411422608966
419,1811,104.81,126.43215762123691
420,1837,0.14,-12.57614288831428
421,1626,1153.35,1115.5296804776572
422,1345,2197.46,2617.8886206001107
423,1310,3644.6,2805.015178978352
424,1622,2177.44,1136.9155728637415
425,1453,2579.48,2040.4695261758225
426,1819,2.68,83.66037284906815
427,1534,884.24,1607.405205357607
428,1555,335.21,1495.1292703306608
429,1541,389.86,1569.979893681957
430,1502,3383.22,1778.4923444462838
431,1612,2646.94,1190.3803038289534
432,1742,674.61,495.33880128119927
433,1418,3354.35,2227.596084554064
434,1555,2639.83,1495.1292703306608
435,1722,1047.55,602.268263211623
436,1413,2225.68,2254.32845003667
437,1338,1011.27,2655.313932275759
438,1450,3332.3,2056.508945465386
439,1325,2031.02,2724.8180825305344
440,1554,2651.95,1500.4757434271833
441,1646,1633.5,1008.6002185472335
442,1658,344.51,944.4425413889785
443,1506,3317.24,1757.1064520601994
444,1608,1098.04,1211.7661962150378
445,1552,1309.18,1511.1686896202245
446,1737,183.57,522.0711667638061
447,1530,3063.37,1628.7910977436914
448,1740,55.36,506.03174747424237
449,1630,2005.83,1094.1437880915728
450,1519,2629.63,1687.6023018054238
451,1553,534.25,1505.822216523704
452,1445,528.46,2083.241310947992
453,1426,307.57,2184.8242997818943
454,1642,2086.5,1029.9861109333178
455,1358,1005.33,2548.384470345335
456,1307,1079.68,2821.054598267916
457,1745,545.34,479.2993819916355
458,1557,1970.05,1484.4363241376195
459,1428,777.09,2174.131353588852
460,1317,2830.93,2767.589867302704
461,1442,914.3,2099.280730237556
462,1709,151.3,671.7724134663986
463,1609,15.79,1206.4197231185171
464,1427,3499.65,2179.4778266853737
465,1603,2759.19,1238.4985616976446
466,1857,0.18,-119.505604818738
467,1508,2829.65,1746.4135058671573
468,1813,247.08,115.73921142819563
469,1423,636.49,2200.863719071458
470,1331,4365.23,2692.739243951407
471,1507,3398.54,1751.759978963678
472,1832,0.1,14.156222594292558
473,1657,581.15,949.789014485501
474,1315,1097.34,2778.2828134957463
475,1315,4383.41,2778.2828134957463
476,1707,1161.94,682.4653596594417
477,1834,29.0,3.463276401249459
478,1705,28.87,693.158305852483
479,1755,142.13,425.83465102642367
480,1401,1072.79,2318.486127194924
481,1444,2624.33,2088.587784044513
482,1526,3304.59,1650.1769901297757
483,1630,1164.95,1094.1437880915728
484,1313,1212.75,2788.9757596887885
485,1648,1718.14,997.9072723541904
486,1516,3305.69,1703.6417210949876
487,1543,600.8,1559.2869474889158
488,1554,1998.62,1500.4757434271833
489,1516,982.16,1703.6417210949876
490,1656,1420.66,955.1354875820216
491,1740,122.48,506.03174747424237
492,1629,347.12,1099.4902611880934
493,1332,553.83,2687.3927708548863
494,1705,595.76,693.158305852483
495,1323,3776.19,2735.5110287235766
496,1751,136.48,447.22054341250805
497,1427,3383.79,2179.4778266853737
498,1631,576.07,1088.7973149950503
499,1756,512.92,420.48817792990303
500,1634,136.39,1072.7578957054884
501,1706,1251.35,687.8118327559623
502,1411,632.97,2265.021396229712
503,1345,49.43,2617.8886206001107
504,1821,7.8,72.96742665602505
505,1643,2199.74,1024.6396378367972
506,1319,646.56,2756.896921109662
507,1358,1946.86,2548.384470345335
508,1526,704.62,1650.1769901297757
509,1828,0.48,35.54211498037694
510,1617,2490.41,1163.6479383463484
511,1648,1628.5,997.9072723541904
512,1437,3548.24,2126.013095720162
513,1717,167.24,629.0006286942298
514,1611,2455.59,1195.726776925474
515,1739,82.76,511.378220570763
516,1844,0.64,-50.0014545639624
517,1745,413.87,479.2993819916355
518,1357,3028.84,2553.7309434418567
519,1532,2023.9,1618.0981515506483
520,1356,4360.98,2559.0774165383773
521,1603,2394.78,1238.4985616976446
522,1708,23.02,677.1188865629192
523,1622,2281.25,1136.9155728637415
524,1452,1849.71,2045.815999272344
525,1623,885.38,1131.569099767221
526,1831,1.7,19.502695690813198
527,1300,1093.98,2858.479909943564
528,1315,2638.42,2778.2828134957463
529,1359,796.85,2543.0379972488136
530,1414,138.12,2248.9819769401483
531,1411,2613.02,2265.021396229712
532,1701,90.97,714.5441982385673
533,1705,202.26,693.158305852483
534,1507,3890.54,1751.759978963678
535,1740,346.06,506.03174747424237
536,1527,2856.38,1644.8305170332542
537,1322,2453.93,2740.857501820098
538,1403,1410.39,2307.7931810018817
539,1450,3477.19,2056.508945465386
540,1546,293.86,1543.247528199352
541,1653,971.91,971.1749068715853
542,1723,402.46,596.9217901151023
543,1602,2594.51,1243.8450347941653
544,1655,1864.16,960.4819606785422
545,1610,2370.29,1201.0732500219965
546,1752,775.78,441.8740703159874
547,1545,1750.86,1548.5940012958727
